KODE PROVINSI,KODE KAB_KOTA,PROVINSI,Jumlah Sekolah SD,Jumlah Kuota Murid SD,Jumlah Murid SD,Dropout SD,Jumlah Sekolah SMP,Jumlah Kuota Murid SMP,Jumlah Murid SMP,Dropout SMP,Jumlah Sekolah SMA,Jumlah Kuota Murid SMA,Jumlah Murid SMA,Dropout SMA,Jumlah Sekolah SMK,Jumlah Kuota Murid SMK,Jumlah Murid SMK,Dropout SMK,PAGU,Tingkatan,Jumlah Murid,Dropout,Catatan
1.0,01 00 ,DKI JAKARTA,2224.0,756455.0,58269.0,815.0,1070.0,347858.0,327598.0,272.0,496.0,192105.0,135828.0,337.0,561.0,196648.0,125071.0,192.0,543468015514000.0,,,,
2.0,02 00 ,JAWA BARAT,19553.0,4487262.0,1321393.0,5272.0,5945.0,1816181.0,1329421.0,1217.0,1768.0,823771.0,559129.0,688.0,2913.0,1068475.0,194348.0,1595.0,45936127084000.0,,,,
3.0,03 00 ,JAWA TENGAH,18618.0,2595050.0,714555.0,2212.0,3446.0,1208304.0,710938.0,464.0,861.0,452954.0,290527.0,166.0,1541.0,804419.0,702422.0,652.0,39663815151000.0,,,,
4.0,04 00 ,DI YOGYAKARTA,1846.0,270610.0,63013.0,99.0,454.0,132555.0,113391.0,14.0,173.0,61131.0,57256.0,5.0,206.0,88842.0,63359.0,20.0,12354403690000.0,,,,
5.0,05 00 ,JAWA TIMUR,18980.0,2530849.0,1547345.0,2654.0,4996.0,1230422.0,946735.0,1792.0,1517.0,548681.0,233113.0,842.0,2147.0,774568.0,168306.0,1645.0,45217577671000.0,,,,
6.0,06 00 ,ACEH,3532.0,489863.0,359596.0,1060.0,1294.0,202186.0,96428.0,440.0,539.0,137657.0,54724.0,299.0,222.0,54100.0,50700.0,169.0,16000815877000.0,,,,
7.0,07 00 ,SUMATERA UTARA,9751.0,1524481.0,514236.0,3767.0,2687.0,622082.0,482029.0,1666.0,1067.0,389899.0,221426.0,1263.0,959.0,304565.0,246116.0,2283.0,20510426452000.0,,,,
8.0,08 00 ,SUMATERA BARAT,4206.0,592365.0,258139.0,778.0,858.0,201502.0,153294.0,309.0,338.0,153535.0,145115.0,241.0,212.0,88282.0,70716.0,252.0,10496276559000.0,,,,
9.0,09 00 ,RIAU,3815.0,776574.0,500157.0,1051.0,1269.0,261370.0,203027.0,498.0,467.0,172295.0,117438.0,232.0,306.0,105325.0,72051.0,253.0,7863768708000.0,,,,
10.0,10 00 ,JAMBI,2464.0,368620.0,354633.0,664.0,708.0,119756.0,110514.0,160.0,247.0,81429.0,73468.0,191.0,181.0,49229.0,7776.0,68.0,7512057549000.0,,,,
11.0,11 00 ,SUMATERA SELATAN,4719.0,882011.0,782370.0,1887.0,1438.0,356480.0,121174.0,524.0,613.0,220114.0,144150.0,397.0,314.0,125925.0,87664.0,274.0,16328811167000.0,,,,
12.0,12 00 ,LAMPUNG,4726.0,798892.0,737586.0,849.0,1455.0,336944.0,315440.0,199.0,527.0,172818.0,139466.0,261.0,497.0,150736.0,84119.0,127.0,8296352227000.0,,,,
13.0,13 00 ,KALIMANTAN BARAT,4447.0,563178.0,181689.0,1092.0,1377.0,229930.0,76611.0,384.0,472.0,132567.0,70293.0,167.0,233.0,75741.0,63761.0,223.0,8818659337000.0,,,,
14.0,14 00 ,KALIMANTAN TENGAH,2650.0,276421.0,93347.0,549.0,867.0,105502.0,73311.0,220.0,245.0,62671.0,51238.0,104.0,139.0,33166.0,9378.0,105.0,5453513408000.0,,,,
15.0,15 00 ,KALIMANTAN SELATAN,2920.0,353174.0,226724.0,534.0,627.0,112789.0,65398.0,183.0,207.0,68164.0,55590.0,62.0,128.0,55438.0,53387.0,121.0,7480424399000.0,,,,
16.0,16 00 ,KALIMANTAN TIMUR,1929.0,419472.0,353607.0,639.0,697.0,161874.0,111844.0,184.0,237.0,82333.0,64541.0,75.0,217.0,83110.0,67120.0,55.0,33960381456000.0,,,,
17.0,17 00 ,SULAWESI UTARA,2209.0,218823.0,118257.0,469.0,733.0,98340.0,59172.0,181.0,229.0,63567.0,60874.0,154.0,192.0,45766.0,36557.0,158.0,8491208061000.0,,,,
18.0,18 00 ,SULAWESI TENGAH,2944.0,312352.0,88524.0,1013.0,877.0,113233.0,102245.0,500.0,234.0,79866.0,74952.0,270.0,182.0,41943.0,15349.0,199.0,6755175694000.0,,,,
19.0,19 00 ,SULAWESI SELATAN,6434.0,883153.0,611301.0,1811.0,1713.0,331150.0,84169.0,717.0,607.0,230017.0,176678.0,924.0,406.0,120300.0,83555.0,528.0,20383484852000.0,,,,
20.0,20 00 ,SULAWESI TENGGARA,2347.0,294170.0,130100.0,730.0,789.0,116802.0,95306.0,230.0,315.0,94537.0,65943.0,211.0,168.0,34736.0,12363.0,221.0,6524765034000.0,,,,
21.0,21 00 ,MALUKU,1815.0,206984.0,123016.0,654.0,696.0,89436.0,73450.0,211.0,288.0,69590.0,53476.0,262.0,120.0,21812.0,17267.0,49.0,8306653911000.0,,,,
22.0,22 00 ,BALI,2409.0,383616.0,158266.0,168.0,404.0,186003.0,133227.0,46.0,163.0,95685.0,81180.0,21.0,170.0,89129.0,85697.0,34.0,11542430868000.0,,,,
23.0,23 00 ,NUSA TENGGARA BARAT,3330.0,512620.0,466465.0,1093.0,1063.0,173957.0,143804.0,319.0,365.0,116920.0,84431.0,919.0,329.0,77712.0,53340.0,661.0,6947320947000.0,,,,
24.0,24 00 ,NUSA TENGGARA TIMUR,5225.0,663307.0,394642.0,3463.0,1833.0,316816.0,206467.0,866.0,611.0,207039.0,122047.0,596.0,343.0,103874.0,94947.0,686.0,11564138920000.0,,,,
25.0,25 00 ,PAPUA,831.0,116836.0,110365.0,2842.0,269.0,51088.0,50524.0,856.0,113.0,33269.0,22370.0,402.0,49.0,13363.0,10177.0,294.0,10841701852000.0,,,,
26.0,26 00 ,BENGKULU,1407.0,194870.0,182949.0,286.0,457.0,85502.0,73775.0,91.0,151.0,54694.0,50250.0,119.0,103.0,28542.0,17015.0,198.0,4518470238000.0,,,,
28.0,28 00 ,MALUKU UTARA,1317.0,141138.0,137562.0,534.0,519.0,59722.0,54844.0,144.0,224.0,44809.0,34071.0,103.0,150.0,19151.0,7047.0,107.0,4660169975000.0,,,,
29.0,29 00 ,BANTEN,4610.0,1203432.0,873443.0,1397.0,1602.0,441873.0,127855.0,471.0,607.0,225308.0,116139.0,342.0,724.0,251415.0,101996.0,580.0,8494366463000.0,,,,
30.0,30 00 ,KEPULAUAN BANGKA BELITUNG,833.0,161703.0,150390.0,231.0,232.0,63212.0,54524.0,31.0,74.0,31454.0,30353.0,23.0,59.0,24636.0,6945.0,51.0,395432550000.0,,,,
31.0,31 00 ,GORONTALO,931.0,108058.0,87614.0,518.0,342.0,41425.0,30059.0,183.0,71.0,31646.0,14856.0,168.0,59.0,16807.0,12293.0,149.0,5027118670000.0,,,,
32.0,32 00 ,KEPULAUAN RIAU,982.0,227249.0,208974.0,271.0,415.0,99219.0,97438.0,19.0,168.0,57275.0,55985.0,61.0,104.0,37984.0,17092.0,8.0,8572641079000.0,,,,
33.0,33 00 ,PAPUA BARAT,569.0,71737.0,58502.0,584.0,164.0,27469.0,22780.0,112.0,64.0,16881.0,13717.0,72.0,21.0,6736.0,6398.0,75.0,5723145330000.0,,,,
34.0,34 00 ,SULAWESI BARAT,1329.0,143300.0,139453.0,402.0,378.0,51222.0,50746.0,166.0,92.0,29665.0,25136.0,82.0,130.0,25073.0,4940.0,356.0,1150174528000.0,,,,
35.0,35 00 ,KALIMANTAN UTARA,485.0,79877.0,77922.0,162.0,195.0,33093.0,27693.0,39.0,68.0,18886.0,17294.0,16.0,34.0,10457.0,5636.0,16.0,3293591130000.0,,,,
36.0,36 00 ,PAPUA SELATAN,606.0,94976.0,89777.0,1500.0,130.0,27592.0,22268.0,39.0,37.0,12884.0,11547.0,16.0,25.0,7007.0,4034.0,8.0,877061137000.0,,,,
37.0,37 00 ,PAPUA TENGAH,553.0,143052.0,77878.0,173.0,171.0,40604.0,21471.0,30.0,56.0,16214.0,15678.0,17.0,51.0,11181.0,8402.0,12.0,1335238381000.0,,,,
38.0,38 00 ,PAPUA PEGUNUNGAN,665.0,140165.0,127173.0,200.0,197.0,41813.0,20677.0,24.0,62.0,13843.0,13709.0,18.0,19.0,4425.0,4333.0,10.0,1345415032000.0,,,,
39.0,39 00 ,PAPUA BARAT DAYA,547.0,60227.0,57608.0,210.0,181.0,24650.0,23805.0,27.0,72.0,14260.0,13155.0,16.0,38.0,8985.0,5015.0,7.0,627771269000.0,,,,
,,KALIMANTAN SELATAN,,,,,,,,,,,,,,,,,,SMA,2.0,0.0,
